movieId,title,genres,tmdbId,director,top_3_cast,overview,poster_path
11,"American President, The (1995)",Comedy|Drama|Romance,9087.0,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen,"Andrew Sheperd, actuel président des États-Unis, est un homme jeune, dynamique, et aux idées libérales. Sa vie est irréprochable. Veuf, il s'occupe de sa jeune fille avec beaucoup d'attention. Andrew va tomber amoureux de Sidney Ellen Wade, ce qui déclenche l'agressivité des médias. Ses adversaires en profitent pour attaquer le président sur sa moralité.",https://image.tmdb.org/t/p/w500/iI2KcBDJiwCFmdLaMlTUvNKTYCE.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110.0,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck,"Le ""Dracula"" de Bram Stoker revu et corrigé par Mel Brooks.",https://image.tmdb.org/t/p/w500/oUHSR1niF1TLSzpPcGKHvPJyKXJ.jpg
13,Balto (1995),Adventure|Animation|Children,21032.0,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda,"En 1925, dans le village de Nome, en Alaska, vit Balto, moitié loup - moitié husky, rejeté par les autres chiens et souffrant terriblement de sa condition. Un jour, une grave épidémie s'abat sur le village. Toutes les routes sont bloquées par un violent blizzard. Le seul moyen de faire venir des médicaments jusque-là est d'envoyer des chiens braver la tempête. Balto va enfin pouvoir faire la preuve de son courage, de son adversité et de sa loyauté.",https://image.tmdb.org/t/p/w500/hvW8zxRumDjqWDR1MoCoPzxflS9.jpg
14,Nixon (1995),Drama,10858.0,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,"La biographie de Richard Nixon, ancien Président des Etats-Unis à la carrière tumultueuse et controversée.",https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,1408.0,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella,"Morgan Adams, flibustière de son état, est aussi intrépide que séduisante. Après l'assassinat de son père, le redouté pirate Harry le Noir, Morgan hérite du bateau paternel et du tiers de la carte d'un fabuleux trésor. Les deux autres morceaux sont détenus par ses oncles, pirates eux aussi, dont l'un, Dawg, n'est autre que le meurtrier de son père",https://image.tmdb.org/t/p/w500/hEMFv7TjDV1GYcvcbRYH9cjLeeU.jpg
16,Casino (1995),Crime|Drama,524.0,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci,"Dans les années soixante-dix à Las Vegas, Ace Rothstein dirige d'une main de fer l'hôtel-casino Tangiers, financé en sous-main par le puissant syndicat des camionneurs. Le Tangiers est l'un des casinos les plus prospères de la ville et Ace est devenu le grand manitou de Las Vegas, secondé par son ami d'enfance, Nicky Santoro. Impitoyable avec les tricheurs, Rothstein se laisse un jour séduire par une virtuose de l'arnaque d'une insolente beauté, Ginger McKenna. Amoureux, il lui ouvre les portes de son paradis et l'épouse. Ses ennuis commencent alors.",https://image.tmdb.org/t/p/w500/4a0I37pYcdFY6HeutalHQTGs0sl.jpg
17,Sense and Sensibility (1995),Drama|Romance,4584.0,Ang Lee,Emma Thompson|Kate Winslet|Alan Rickman,"En Angleterre, au début du XIXe siècle. À sa mort, monsieur Dashwood laisse son épouse et ses trois filles dépourvues de tout bien. Chassées de leur maison par le fils aîné, un être grossier entièrement dominé par son acariâtre épouse, les quatre femmes doivent se résoudre à demander asile à une cousine éloignée. Avant de partir, Elinor, l'aînée des filles, la plus vertueuse, a le temps de s'éprendre du frère de sa belle-sœur, le charmant mais bafouillant Edward. Marianne, la cadette, déjoue les plans de son envahissante cousine. Plutôt que de s'éprendre du colonel Brandon, un riche célibataire des environs, elle s'enflamme pour le séduisant Willoughby...",https://image.tmdb.org/t/p/w500/sDN7yTEpCXdXn4zrPKoSIU248Ox.jpg
18,Four Rooms (1995),Comedy,5.0,Allison Anders,Tim Roth|Jennifer Beals|David Proval,"Le groom d'un hôtel de luxe présente quatre histoires, se passant dans quatre chambres différentes. The missing ingredient : des sorcières tentent d'invoquer l'esprit de la déesse Diana. The wrong man : un homme armé séquestre sa femme. The misbehavers : un gangster, sa femme et ses deux enfants logent dans une chambre. The man from Hollywood : un acteur arrogant a organisé une fête.",https://image.tmdb.org/t/p/w500/7bVVy3fmB4FtyV0z47DGrX5hp3L.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,9273.0,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow,"Parce qu’il n’a pu sauver un raton laveur perdu en haute montagne, Ace Ventura s’est retiré dans une lamaserie au Tibet. Mais, à la faveur d’une nouvelle mission, Ace Ventura part en Afrique mettre la main sur une chauve‐souris blanche sacrée disparue avant qu’un conflit n’éclate entre les tribus Wachati et Wachootoo.",https://image.tmdb.org/t/p/w500/pfe3WBJzufMawUiQ9agzitTFcei.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517.0,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez,"Charlie et John ont grandi ensemble, élevés par la mère de ce dernier, et sont aujourd'hui agents de la sécurité du métro de New York. Ils vont vivre une semaine de Noël agitée: ils devront faire face à un tueur psychopathe pyromane errant dans les stations de métro; ils tomberont amoureux de la même femme, Grace Santiago, inspecteur de police récemment entrée dans leur équipe; ils entreront à plusieurs reprises en conflit avec leur patron, l'antipathique Patterson, toujours à la recherche d'une bonne occasion pour les renvoyer; et John aidera Charlie à rembourser les dettes de jeux qu'il doit à des mafieux. À la fois pour rembourser ses dettes et pour se venger de Patterson, Charlie envisage bientôt de dévaliser le Métrodollar (en anglais, ""Money Train""), le train qui transporte les recettes du métro de New York. John peine à l'en dissuader…",https://image.tmdb.org/t/p/w500/hT9hyQTEe6wPgQOFd42lDGPoPHQ.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,8012.0,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo,"Trafic de drogue. Racket. Prêts sur gages. Bienvenue à Hollywood ! Une comédie hystérique qui prouve que ce n'est pas compliqué de réussir dans le cinéma… si on a eu quelques liens avec la mafia. Le prêteur sur gages Chili Palmer a fait son temps en tant que gangster. Pourtant, lorsque ""les affaires"" l'amènent à  Los Angeles pour récupérer les dettes d'un producteur fauché, Chili plonge la tête la première dans le monde hollywoodien : il flatte une star du cinéma, fait la cour à  une vedette de films de série ""B"" et réserve même des tables dans les restaurants les plus branchés de la ville. En fait, tout irait au mieux pour ce nouveau producteur audacieux s'il n'était pas poursuivi par des trafiquants de drogue et un truand en colère. Mais bon, c'est Hollywood et personne n'a dit que ça serait facile !",https://image.tmdb.org/t/p/w500/zHFnEVGDAB0tNzANUSAUdXZyAUq.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710.0,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,"Le docteur Helen Hudson, psychiatre réputée et auteur d'ouvrage à succès sur les serial killers, est victime d'un de ses ""héros"" qui l'agresse sauvagement à l'issue d'une causerie. Fortement traumatisée, Helen vit recluse dans son appartement de San Francisco et n'entretient plus que de rares relations avec le monde extérieur. Jusqu'au jour ou elle découvre à la Une d'un journal la photo d'une jeune fille victime d'un serial Killer. D'autres crimes ont lieu et Helen se rend vite compte qu'elle est à nouveau en danger.",https://image.tmdb.org/t/p/w500/xVU8ZSJAXyvsVhDH53wRfqxANQU.jpg
23,Assassins (1995),Action|Crime|Thriller,9691.0,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore,"Un tueur désenchanté, son jeune émule et une jeune femme pirate informatique vont s'affronter, l'un pour gagner enfin sa liberté, l'autre pour la gloire, et la troisième pour l'amour.",https://image.tmdb.org/t/p/w500/1zF2JDChm9pQKKbZwGQGQPxDLbK.jpg
24,Powder (1995),Drama|Sci-Fi,12665.0,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,"Un jeune homme, doté de pouvoirs de télékinésie, vit caché dans une maison. Son intégration dans le monde extérieur ne va pas se faire sans heurt.",https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg
25,Leaving Las Vegas (1995),Drama|Romance,451.0,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands,"Ben, scénariste alcoolique, décide de partir à Las Vegas après s'être fait licencier par la maison de production pour laquelle il travaillait. Il se donne quatre semaines pour boire jusqu'à en mourir et s'installe pour cela dans un petit hôtel miteux à proximité des bars qui ne ferment jamais. Il rencontre Sera, une jeune prostituée dont il tombe amoureux. Elle décide de l'héberger et l'assistera jusqu'à ses derniers instants.",https://image.tmdb.org/t/p/w500/xetp8XKuHz3VxXbkRavqBJFEkea.jpg
26,Othello (1995),Drama,16420.0,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh,"Venise 1570. L'orgueilleux Maure Othello, mercenaire au service de la Sérénissime République, enlève Desdemone, fille du noble Brabantino. Une passion dévorante unit les deux amants. Mais Iago, fidèle lieutenant du Maure, voyant le charmant Cassio prendre de plus en plus d'importance auprès d'Othello qui le lui préfère comme bras droit, jure de se venger du couple.",https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg
27,Now and Then (1995),Children|Drama,9263.0,Lesli Linka Glatter,Christina Ricci|Rosie O'Donnell|Thora Birch,"Quatre amies d'enfance, Samantha, Teeny, Roberta et Chrissy, sont réunies dans leur ville natale à l'occasion de la naissance de l'enfant de Chrissy. Ensemble, elles se remémorent l'été 1970, celui de leurs 12 ans, particulièrement riche en événements. À cette époque, la petite bande économisait pour acheter une cabane dans les arbres. C'était compter sans les horribles frères Wormers, prêts à tout pour saborder leurs plans",https://image.tmdb.org/t/p/w500/wVBi7efzRwP9NDlxA3gk2AEKIfv.jpg
28,Persuasion (1995),Drama|Romance,17015.0,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood,,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902.0,Jean-Pierre Jeunet,Ron Perlman|Dominique Pinon|Judith Vittet,"Parce qu'il lui manque la faculté de rêver, Krank, un vieil inventeur fou, enlève de jeunes enfants pour leur voler leurs rêves. Pour retrouver son petit frère disparu, One, véritable force de la nature, part à la recherche de La Cité des Enfants Perdus.",https://image.tmdb.org/t/p/w500/sSQmKWhD4DuJqGM6Wpx2YMUxcYa.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557.0,Zhang Yimou,Gong Li|Li Baotian|孫淳,"Dans les années 30, Liu Shu, parrain d'une triade, fait venir a Shanghai son jeune neveu, Shuisheng, dans le but de le former et d'en faire son dauphin.",https://image.tmdb.org/t/p/w500/juY6LEnwGdYNH9yVmkYU2lMBHUn.jpg
31,Dangerous Minds (1995),Drama,9909.0,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,"Ex-membre des marines, Louanne Johnson accepte d'enseigner à la East Palo Alto Highschool, un établissement à la réputation sulfureuse. Réalisant que ses élèves possèdent de grandes capacités intellectuelles, elle décide de se battre pour les aider à apprendre.",https://image.tmdb.org/t/p/w500/7DIY7k4e7osV47zRFBl4WQpIed1.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63.0,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt,"Nous sommes en l’an 2035. Les quelques milliers d’habitants qui restent sur notre planète sont contraints de vivre sous terre. La surface du globe est devenue inhabitable à la suite d’un virus ayant décimé 99 % de la population. Les survivants mettent tous leurs espoirs dans un voyage à travers le temps pour découvrir les causes de la catastrophe et la prévenir. C’est James Cole, hanté depuis des années par une image incompréhensible, qui est désigné pour cette mission.",https://image.tmdb.org/t/p/w500/zfUdn8lnUaVhlcBlXR30Ctq02uj.jpg
34,Babe (1995),Children|Drama,9598.0,Chris Noonan,Christine Cavanaugh|Miriam Margolyes|Danny Mann,"Dans la ferme des Hoggett, chaque créature a sa place jusqu'à ce que Babe, le petit cochon orphelin, arrive et chamboule tout. Pris sous la protection de Fly, il se prend bientôt pour un chien. Hoggett, au risque de passer pour fou, perçoit quelque chose de spécial chez Babe et l'inscrit au championnat national des chiens de berger. À l'entrée du fermier et de son cochon court sur pattes dans le stade de compétition, les rires se font entendre lourdement… Mais, tout le monde sera là pour une surprise de taille.",https://image.tmdb.org/t/p/w500/s47apk3KzJ149zwTmXru354uQJd.jpg
36,Dead Man Walking (1995),Crime|Drama,687.0,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky,"Sœur Helen Prejean s'occupe de l'éducation d'enfants défavorisés dans un quartier populaire de la Nouvelle-Orléans quand elle reçoit une lettre d'un certain Matthew Poncelet, condamné à mort pour le viol et le meurtre d'une jeune fille et de son ami. Malgré l'atrocité des crimes commis, Helen croit en la rédemption de Matthew et l'aide à se défendre en appel au sein des différentes juridictions américaines. Portée par une foi inébranlable, elle devient sa conseillère spirituelle et l'accompagne tout au long de son chemin vers le couloir de la mort afin de sauver son âme.",https://image.tmdb.org/t/p/w500/pYnZqKwaH9LeSM3HcvSCHya2Re3.jpg
38,It Takes Two (1995),Children|Comedy,33689.0,Andy Tennant,Kirstie Alley|Steve Guttenberg|Ashley Olsen,"Amanda et Alysa viennent d'horizons différents. L'une est orpheline, l'autre vient d'un milieu aisé. Les deux petites filles vont imaginer un stratagème visant à réunir sous les cieux de l'amour le père d'Alysa et l'assistante sociale d'Amanda.",https://image.tmdb.org/t/p/w500/pJEzffNM50qZQ4IC07Krfk0T9M7.jpg
39,Clueless (1995),Comedy|Romance,9603.0,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy,"Deux beaux mecs font irruption dans l'univers de Cher : un nouveau camarade d'école sexy et son ex demi-frère à l'esprit carré mais bien mignon. Elle apprend maintenant que lorsqu'il s'agit d'amour, elle est nulle.",https://image.tmdb.org/t/p/w500/zTnyP1ExHx1FEUh5uvkcdy7oSCr.jpg
40,"Cry, the Beloved Country (1995)",Drama,34615.0,Darrell James Roodt,Richard Harris|James Earl Jones|Charles S. Dutton,"Le vieux pasteur Stephen Kumalo se rend à Johannesburg pour y retrouver son fils disparu. Arrivé là-bas il rencontre la misère et apprend que son fils est devenu un criminel recherché pour meurtre, et que sa sœur a été contrainte de se prostituer.",https://image.tmdb.org/t/p/w500/4Hbh3QBntv54y38sEfb0iJOvtxd.jpg
41,Richard III (1995),Drama|War,31174.0,Richard Loncraine,Ian McKellen|Annette Bening|Jim Broadbent,"Dans les années 1930, la guerre civile britannique débouche sur la mort du roi. Son successeur, Edward V, monte sur le trône d'Angleterre au détriment de son frère Richard, duc de Gloucester. Ce dernier, né difforme et bossu, ne manque néanmoins pas d'ambition et entreprend d'accéder à la couronne par tous les moyens possibles.",https://image.tmdb.org/t/p/w500/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg
42,Dead Presidents (1995),Action|Crime|Drama,11443.0,Albert Hughes,Larenz Tate|Keith David|Chris Tucker,Un jeune vétéran de la guerre du Vietnam est contraint de participer à un hold-up pour tirer sa famille de la misère.,https://image.tmdb.org/t/p/w500/2jAWIYA99TaQvxz3i7sGmpOD51f.jpg
43,Restoration (1995),Drama,35196.0,Michael Hoffman,Robert Downey Jr.|Meg Ryan|Sam Neill,"En Angleterre, l'année 1660 voit la fin de l'austère dictature de Cromwell et le retour au pouvoir de la famille royale en la personne de Charles II, souverain spirituel, éclaire et libertin. C'est dans ce contexte que nous allons suivre les aventures de Robert Merivel, jeune médecin obscur, appelé à la cour pour soigner la chienne favorite du roi.",https://image.tmdb.org/t/p/w500/iwlvB8JkaXXxcyERo7KCVlsgVW7.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,9312.0,Paul W. S. Anderson,Robin Shou|Linden Ashby|Bridgette Wilson-Sampras,"Lord Rayden fait équipe avec un guerrier, un maître en arts martiaux et une belle détective pour remporter le tournoi Mortal Kombat. S'ils échouent, ce sera la fin de l'Humanité.",https://image.tmdb.org/t/p/w500/4Wr3FCCeiknJtrb4dgErFS2wnbd.jpg
45,To Die For (1995),Comedy|Drama|Thriller,577.0,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix,"Pour atteindre son rêve et devenir une star du petit écran, Suzanne est prête à tout. Même à faire disparaître son mari...",https://image.tmdb.org/t/p/w500/h8BYaxgXaYWKZQtgd99u2lDglTs.jpg
46,How to Make an American Quilt (1995),Drama|Romance,11861.0,Jocelyn Moorhouse,Winona Ryder|Anne Bancroft|Ellen Burstyn,"Chaque semaine, Glady Joe, sa soeur Hy, et leurs amies Anna, Em, Sophia, Marianna et Constance se retrouvent pour coudre des ""quilts"" à thèmes. Elles perpétuent ainsi les traditions des pionnières américaines qui, grâce à quelques bouts d'étoffe, tissaient l'histoire de leur pays et de leur vie. Cet été, la venue de Finn, la jeune nièce de Glady Joe, et l'annonce de son probable mariage, inspirent au groupe une composition savante et chatoyante, illustrant les destins contrastés de chacune des ""quilteuses"". Au fil des jours, les sept femmes se remémorent leurs premières amours, leurs rêves de jeunesse, leurs espoirs tenaces qui ont résisté à toutes les trahisons. Le geste collectif, solidaire et patient, favorise la confidence, apaise les regrets, ordonne et harmonise les fragments du patchwork, qui donneront à Finn la réponse à ses interrogations et la clé de son avenir...",https://image.tmdb.org/t/p/w500/kFVxTShGAXwdiJYlX1Wk2xgHfyT.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807.0,David Fincher,Morgan Freeman|Brad Pitt|Gwyneth Paltrow,"À New York, un criminel anonyme a décidé de commettre 7 meurtres basés sur les 7 pêchés capitaux énoncés dans la Bible : gourmandise, avarice, paresse, orgueil, luxure, envie et colère. Vieux flic blasé à 7 jours de la retraite, l'inspecteur Somerset mène l'enquête tout en formant son remplaçant, l'ambitieux inspecteur David Mills…",https://image.tmdb.org/t/p/w500/upIOOLVeOoUkTM5fVWwXW2JmBrW.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,10530.0,Mike Gabriel,Irene Bedard|Mel Gibson|David Ogden Stiers,"Walt Disney Animation Studios s'est inspiré de la vie extraordinaire et de l’esprit indomptable de l’héroïne amérindienne pour raconter l'histoire de Pocahontas. Cette aventure musicale allie les faits historiques et la légende pour raconter l’histoire d’une jeune femme courageuse, pleine de compassion et d’énergie. Elle doit ""écouter son cœur"" pour choisir sa voie, guidée par la sagesse de sa bien-aimée Grand-mère Feuillage et par son amitié avec le capitaine John Smith.",https://image.tmdb.org/t/p/w500/y7expGBz3w2o4up38M3mfGYQ0i0.jpg
49,When Night Is Falling (1995),Drama|Romance,8391.0,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny,"Camille et Martin s'aiment. Les responsables du collège religieux où ils enseignent leur demandent de légaliser leur union. Camille ne se sent pas prête pour le mariage. La mort de son chien la plonge dans un total désarroi. Sa rencontre avec Petra, irrésistible jeune femme, acrobate dans un cirque ambulant, va remettre en question son amour pour Martin.",https://image.tmdb.org/t/p/w500/1kPMKsfNafL9cOVY701fvBebhIW.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,629.0,Bryan Singer,Stephen Baldwin|Gabriel Byrne|Benicio del Toro,"Suspect numéro 1 dans une étrange affaire de hold-up, Verbal Kint est soumis à un interrogatoire par des agents fédéraux. Très vite, il dévoile aux policiers que le véritable cerveau de cette affaire n'est autre que le redoutable criminel Keyser Soze, un être machiavélique possédant une intelligence hors du commun. Peu à peu, le suspect va dresser un portrait effrayant de ce criminel que personne n'a jamais vu…",https://image.tmdb.org/t/p/w500/h06jDZB4Y9YQJiSGTcUwbhuiUrB.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,11448.0,Woody Allen,Woody Allen|Mira Sorvino|Helena Bonham Carter,"Les Weintrib forment un couple ordinaire de New-yorkais. Amanda travaille sans relâche a sa galerie d'art, tandis que Lenny est journaliste sportif. Sous la pression d'Amanda, Lenny se résout à adopter un enfant, Max, qui au fil des années se révèle aussi délicieux que doué. Pris dans la routine du couple et du travail, Lenny se demande de plus en plus à quoi peuvent ressembler les parents naturels de l'enfant qu'il élève. Et le voilà qui se lance sur les traces de celle qui a donné le jour à son fils.",https://image.tmdb.org/t/p/w500/5AO9ww2Xj4wO2HvUwua5I1qvfRQ.jpg
53,Lamerica (1994),Adventure|Drama,49133.0,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani,,https://image.tmdb.org/t/p/w500/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg
54,"Big Green, The (1995)",Children|Comedy,26441.0,Holly Goldberg Sloan,Olivia D'Abo|Steve Guttenberg|Chauncey Leopardi,"Dans cette comédie de Disney, les jeunes marginaux d'une ville délabrée du Texas trouvent un nouvel espoir et un nouvel esprit lorsqu'Anna, une enseignante britannique courageuse, leur présente le football. Avec l'aide de l'ancien champion de football de la ville, Anna se bat pour préparer les enfants pour leur match contre les champions de football d'état.",https://image.tmdb.org/t/p/w500/vZDOarq06ovlYB4LbJCD7lIiPt8.jpg
55,Georgia (1995),Drama,97406.0,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine,"Georgia et sa sœur cadette Sadie ont partagé depuis l'enfance une passion commune pour la musique et le chant. Mais, au fil des ans, leur complicité s'est altérée et leurs voies ont divergé. Si Georgia est désormais une star qui mène une vie heureuse, Sadie rate tout ce qu'elle entreprend, se cherchant inlassablement à travers l'alcool et la drogue, en exigeant toujours trop des autres...",https://image.tmdb.org/t/p/w500/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg
